,Player,Weighted_Rushes,EDYAR,EYds
0,A.Kamara,120.0,275.47,738.73
1,K.Hunt,272.0,239.82,1346.56
2,E.Elliott,244.22,232.18,1099.33
3,L.Bell,276.67,197.75,1035.17
4,J.Howard,245.73,160.25,1091.71
5,A.Jones,81.0,144.9,451.46
6,M.Ingram,203.36,140.03,808.51
7,T.Gurley,255.03,135.28,1078.19
8,L.Fournette,268.0,124.23,1055.33
9,A.Collins,142.49,115.14,655.11
10,M.Lynch,162.1,95.95,622.03
11,M.Breida,104.0,93.99,477.94
12,L.McCoy,246.92,91.84,987.65
13,D.Freeman,187.55,90.83,737.62
14,M.Gillislee,94.32,85.44,376.07
15,I.Crowell,185.6,73.69,712.39
16,D.Henry,142.27,72.81,612.35
17,C.Clement,74.0,71.94,323.48
18,F.Gore,239.41,71.73,789.12
19,J.Ajayi,205.14,68.7,811.46
20,C.Hyde,212.16,64.96,787.07
21,A.Ekeler,47.0,63.74,263.83
22,R.Burkhead,61.41,63.48,243.86
23,B.Allen,135.46,57.17,468.44
24,Du.Johnson,71.85,55.27,280.01
25,J.Williams,104.15,52.64,383.89
26,D.Cook,74.0,51.85,359.22
27,L.Murray,191.68,48.33,699.83
28,A.Morris,92.14,44.61,375.47
29,O.Darkwa,116.35,36.48,437.33
30,R.Kelley,86.9,35.75,283.41
31,B.Powell,149.51,34.77,629.22
32,L.Blount,194.17,34.49,743.57
33,T.Coleman,131.94,34.46,482.25
34,C.Carson,49.0,33.44,209.61
35,C.Thompson,59.7,32.76,263.05
36,D.Murray,199.68,32.45,717.4
37,G.Bernard,92.1,31.44,344.69
38,P.Barber,83.75,31.1,333.58
39,L.Miller,226.33,28.09,782.76
40,J.Richard,58.93,26.89,271.04
41,J.Charles,63.71,25.51,268.59
42,C.Grant,28.02,25.34,167.53
43,R.Turbin,27.59,19.76,69.55
44,T.Green,42.0,18.36,167.43
45,M.Gordon,251.35,17.46,866.34
46,J.Rodgers,77.07,16.84,290.54
47,J.Conner,32.0,16.37,139.46
48,W.Gallman,111.0,15.2,479.68
49,K.Drake,93.25,14.93,458.24
50,A.Blue,73.23,11.93,257.31
51,T.West,79.52,11.27,280.55
52,J.Hill,86.51,9.41,276.67
53,T.Ward,27.74,8.02,106.49
54,K.Bibbs,21.49,7.67,76.81
55,C.J.Anderson,185.78,7.57,682.03
56,T.Cohen,87.0,6.48,377.48
57,S.Ridley,26.64,5.04,77.48
58,K.Williams,83.34,4.87,285.46
59,M.Brown,63.0,3.61,221.05
60,T.Riddick,79.14,2.7,256.41
61,A.Abdullah,144.73,0.75,461.23
62,W.Smallwood,51.55,0.64,202.19
63,Da.Williams,38.96,-0.4,128.92
64,C.Johnson,35.49,-0.89,66.28
65,M.Tolbert,51.57,-1.43,119.38
66,A.Ellington,22.29,-1.77,55.13
67,B.Oliver,30.89,-1.8,81.28
68,C.Sims,27.76,-1.91,96.25
69,T.Cadet,23.0,-2.62,77.41
70,S.Vereen,37.76,-3.05,120.59
71,M.Forte,126.98,-3.1,296.75
72,P.Perkins,57.73,-4.35,194.12
73,J.McKinnon,139.83,-9.65,447.33
74,E.Lacy,63.71,-9.76,204.39
75,T.J.Yeldon,67.89,-10.8,255.64
76,M.Davis,53.46,-13.15,152.04
77,Dw.Washington,38.22,-15.91,111.78
78,D.Booker,99.33,-18.15,317.29
79,T.Rawls,67.31,-29.02,181.11
80,C.Ivory,103.91,-45.16,339.89
81,D.Martin,127.99,-47.81,307.99
82,E.McGuire,88.0,-56.74,317.43
83,S.Perine,174.0,-91.82,607.83
